"asset_id","unit","slide_id","type","title","description","pedagogical_purpose","source_url","creator","organization","license","access_date","local_path","status","credit_text","notes"
"U01-CH023","01","U01-072–U01-080","matriz editable","Físico, referido, perceptual y clínico","Matriz de categorías con ejemplos de voz y Audiología.","Evitar equivalencias y ordenar inferencias.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch023_matriz_clasificacion/u01_fig_023_matriz_clasificacion.svg","approved","Elaboración propia a partir del capítulo.","Matriz generada sin flechas deterministas entre categorías."
"U01-CH024","01","U01-081–U01-083","mapa integrador","Caso de la vocal al micrófono","Escena con d,c,N,Δt,amplitud digital,Q/Q0 y salidas hacia cálculos/límites.","Integrar toda la unidad en un sistema.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch024_caso_integrador/u01_fig_024_caso_integrador.svg","approved","Elaboración propia a partir del ejercicio I1.","Cálculos 0,020 s, 200 Hz y 20 dB verificados; límites explícitos."
"U01-CH025","01","U01-084","mapa curricular","Dependencias U1–U4","U1 alimenta mecánica, ondas y magnitudes acústicas.","Explicitar continuidad del curso.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch025_dependencias_curso/u01_fig_025_dependencias_curso.svg","approved","Elaboración propia a partir de course_map y dependency_map.","Generado con cuatro nodos y dependencias documentadas."
"U01-CH026","01","U01-076","gráfico conceptual","Dos espectros conceptuales","Dos distribuciones normalizadas simples con ejes de frecuencia y amplitud relativa.","Distinguir descripción espectral de timbre sin enseñar Fourier.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch026_espectros_conceptuales/u01_fig_026_espectros_conceptuales.svg","approved","Elaboración propia; datos sintéticos declarados.","Datos sintéticos normalizados, no mediciones; CSV incluido."
"U01-IMG001","01","U01-002;U01-081","fotografía real","Vocalización, micrófono y oyente","Escena propia con persona vocalizando, micrófono visible y contexto de escucha/registro.","Sostener el caso narrativo de apertura y cierre.","","Equipo docente","UCASAL","Producción propia; autorización de imagen requerida","2026-07-28","","proposed","Foto: equipo docente/UCASAL.","Propuesta no materializada; obtener consentimiento y evitar pose de stock y cables confusos."
"U01-IMG002","01","U01-028","fotografía real","Trayecto de 100 m","Escena propia con distancia verificable y recorrido marcado.","Dar escala humana al tiempo de propagación.","","Equipo docente","UCASAL","Producción propia","2026-07-28","","proposed","Foto: equipo docente/UCASAL.","Propuesta no materializada; se usa la ilustración U01-CH008."
"U01-IMG003","01","U01-013","fotografías técnicas","Aplicaciones de la acústica","Conjunto propio o institucional de registro de voz, audiometría, dispositivo y ambiente.","Vincular la disciplina con situaciones profesionales reales.","","Equipo docente","UCASAL","Producción propia o permiso institucional","2026-07-28","","proposed","Crédito según toma seleccionada.","Propuesta no materializada; no se usa en la versión final."
"U01-IMG004","01","U01-013","fotografía real","A hearing test machine","Equipo de prueba auditiva y cabina; fotografía vertical de calidad técnica insuficiente.","Candidato contextual evaluado y descartado.","https://commons.wikimedia.org/wiki/File:A_hearing_test_machine.jpg","Onwuka Glory","Wikimedia Commons","CC0 1.0","2026-07-28","units/unit_01/assets/external/original/u01_img_004_hearing_test_machine_commons.jpg","rejected","Onwuka Glory, A hearing test machine, CC0 1.0, Wikimedia Commons.","Descargada e inspeccionada; reflejo, desenfoque e identificación instrumental ambigua."
"U01-IMG005","01","U01-002","fotografía técnica","Microphone studio","Micrófono de estudio con filtro antipop sobre fondo claro.","Alternativa parcial si no puede producirse la escena completa.","https://commons.wikimedia.org/wiki/File:Microphone_studio.jpg","Zzubnik","Wikimedia Commons","Dominio público, cesión del autor","2026-07-28","","shortlisted","Zzubnik, Microphone studio, dominio público, Wikimedia Commons.","No reemplaza la presencia de fuente, medio y receptor."
"U01-IMG006","01","U01-013","fotografía real","Audiological Exam","Evaluación audiológica con audiómetro.","Alternativa institucional para contextualizar Audiología.","https://commons.wikimedia.org/wiki/File:Audiological_Exam.jpg","Hearing Loss Prevention","NIOSH/CDC; Wikimedia Commons","Dominio público, obra del gobierno federal de EE. UU.","2026-07-28","","rejected","NIOSH, Audiological Exam, dominio público.","Resolución original 350 × 233 px: insuficiente para media slide."
"U01-CAP001","01","U01-077","captura sintética de instrumento","Registro de voz no calibrado","Interfaz propia con eje de amplitud digital y ausencia explícita de Pa.","Distinguir dato digital de presión y sonoridad.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","","proposed","Interfaz sintética elaborada para la unidad.","Propuesta no materializada como archivo externo; la slide final usa formas nativas."
"U01-CAP002","01","U01-078","captura sintética de instrumento","Pantalla audiométrica conceptual","Interfaz propia con 1000 Hz, 35 dB HL y respuesta detectado.","Clasificar magnitud, nivel referido y respuesta conductual.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","","proposed","Interfaz sintética elaborada para la unidad.","Propuesta no materializada como archivo externo; la slide final usa formas nativas."
"U01-MEDIA001","01","U01-010;U01-011","GIF","WaveLongitudinal.gif","Animación de onda longitudinal, 63 cuadros, 6,3 s, 427 × 469 px.","Respaldo offline para propagación longitudinal.","https://commons.wikimedia.org/wiki/File:WaveLongitudinal.gif","And1mu","Wikimedia Commons","CC BY-SA 4.0","2026-07-28","units/unit_01/assets/external/original/u01_media_001_wave_longitudinal_commons.gif","downloaded","And1mu, WaveLongitudinal.gif, CC BY-SA 4.0, Wikimedia Commons.","Descargado e inspeccionado; usar solo como alternativa por formato vertical y densidad visual."
"U01-MEDIA002","01","U01-010","GIF propio","Propagación con partícula marcada","Animación horizontal 16:9 de compresión y oscilación local.","Visual principal para la diferencia perturbación/partícula.","","Equipo docente","UCASAL","Elaboración propia","2026-07-28","units/unit_01/assets/generated/u01_ch002_propagacion_particulas/u01_media_002_propagacion_particulas.gif","approved","Elaboración propia; modelo conceptual, no a escala.","GIF de 47 cuadros a 2400 × 1350 px; alternativa estática SVG/PNG de tres estados."
"U01-MEDIA003","01","U01-011","video propio","Pulso en resorte con espira marcada","Registro breve de la demostración física.","Comparar desplazamiento de la marca y recorrido del pulso.","","Equipo docente","UCASAL","Producción propia","2026-07-28","","proposed","Video: equipo docente/UCASAL.","Propuesta no materializada; la versión final usa el GIF propio y una alternativa estática."
"U01-MEDIA004","01","U01-011","simulación interactiva","Wave on a String","Simulación HTML5 con modo pulso, velocidad lenta y extremo sin reflexión durante el fragmento.","Alternativa interactiva a la demostración física.","https://phet.colorado.edu/en/simulations/wave-on-a-string","PhET Interactive Simulations","University of Colorado Boulder","CC BY 4.0 para archivo HTML5; atribución requerida","2026-07-28","","shortlisted","PhET Interactive Simulations, University of Colorado Boulder, https://phet.colorado.edu.","La onda es transversal y no modela sonido en aire; usar solo para pulso/propagación y declarar el límite."
"U01-REF001","01","U01-019–U01-023;U01-039;U01-085–U01-086;U01-093","referencia técnica","The International System of Units (SI), 9th edition","Brochure SI actualizada en 2026.","Fuente normativa para unidades, símbolos y prefijos.","https://www.bipm.org/en/publications/si-brochure","Bureau International des Poids et Mesures","BIPM","CC BY 4.0 indicada en la página oficial","2026-07-28","","approved","BIPM (2026), The International System of Units (SI), 9th ed.","Usar como fuente de datos y crédito; no insertar páginas completas."
"U01-REF002","01","U01-019–U01-021;U01-085;U01-087;U01-093","referencia visual","SI Base Units Relationship Poster, NIST SP 1247","Poster oficial de relaciones entre unidades base y derivadas.","Referencia para validar la red propia del SI.","https://www.nist.gov/publications/si-base-units-relationship-poster","Eite Tiesinga; Kristen A. Dill; David B. Newell","NIST","Información pública NIST; crédito solicitado","2026-07-28","","approved","Tiesinga, Dill y Newell (2020), NIST SP 1247.","No usar el poster completo en la ruta central por exceso de densidad."
"U01-SRC-DIAGFIX","01","U01-001;U01-007–U01-009;U01-012;U01-014;U01-017;U01-019;U01-021–U01-025;U01-027–U01-045;U01-048–U01-057;U01-072–U01-075;U01-077–U01-084;U01-087;U01-090","script de producción","Reparación nativa de diagramas","Reconstruye diagramas estructurales como formas, textos, tablas y conectores editables dentro del PowerPoint.","Aplicar los pisos tipográficos y gates geométricos del prompt de reparación.","","Equipo docente con asistencia de Codex","UCASAL","Elaboración propia","2026-07-29","units/unit_01/scripts/u01_repair_diagrams_native.mjs","approved","Elaboración propia a partir de los assets y del libro del curso.","Fuente reproducible de la versión v02_diagram_fix; objetos nombrados con prefijos U01-CHxxx."
"U01-SRC-CHARTFIX","01","U01-010;U01-046–U01-047;U01-058–U01-071;U01-076","script de producción","Regeneración cuantitativa de diagramas","Regenera gráficos cuantitativos y la animación de propagación en SVG, PNG y GIF al tamaño final.","Mejorar ejes, unidades, anotaciones y legibilidad sin alterar los datos.","","Equipo docente con asistencia de Codex","UCASAL","Elaboración propia","2026-07-29","units/unit_01/scripts/u01_regenerate_quantitative_diagrams.py","approved","Elaboración propia; datos matemáticos y sintéticos ya documentados en U01-CH002/U01-CH015/U01-CH019–U01-CH022/U01-CH026.","Salidas en units/unit_01/assets/generated/diagram_fix/; SVG editables conservados y PNG/GIF embebidos por compatibilidad."
