"topic_id","program_topic","unit","book_section","status","depth","prerequisites","notes"
"U05-02","Transformada de Fourier","5","5.4–5.6","covered","conceptual y operativa","serie de Fourier, funciones","La integral puede presentarse como formalización, sin exigir derivación."
"U05-03","Respuesta en frecuencia y espectro","5","5.5–5.7","covered","comparativa e interpretativa","dominio temporal/frecuencial","Distingue propiedad del sistema de contenido de la señal."
"U05-04","Infrasonido, rango audible y ultrasonido","5","5.8","covered","clasificatoria y aplicada","frecuencia","Los límites auditivos se presentan como aproximados y dependientes del individuo."
"U05-05","Rango dinámico vocal, instrumental y auditivo; umbral de dolor","5","5.9–5.10","covered","comparativa con cautelas","nivel de presión, frecuencia","El libro evita un umbral de dolor universal; se requieren rangos contextuales."
"U05-06","Frecuencia fundamental","5","5.11","covered","conceptual y gráfica","periodicidad, espectro","Relacionar con periodicidad sin identificarla automáticamente con pitch."
"U05-07","Armónicos, parciales y sobretonos","5","5.11","covered","terminológica e interpretativa","fundamental, espectro","El libro diferencia correctamente los tres términos."
"U05-08","Octavas y bandas de octava","5","5.12","covered","logarítmica y aplicada","razones, frecuencia","Incluye centro y límites de banda."
"U05-09","Filtros, frecuencia de corte, central y ancho de banda","5","5.13–5.15","covered","conceptual, gráfica y aplicada","respuesta en frecuencia","Incluye pasa-bajos, pasa-altos y pasa-banda."
"U05-10","Ponderación A y dBA","5","5.16","covered","metrológica y crítica","nivel, espectro, audición","Se contextualiza como filtro normalizado; no equivale a percepción individual."
"U05-11","Sonómetro","5","5.17","covered","instrumental","nivel, ponderación, tiempo","Incluye parámetros de medición y cautelas de configuración."
"U05-X1","Muestreo, DFT/FFT, ventanas, resolución y fuga espectral","5","5.18–5.22","out_of_scope","ampliación técnica útil","señales, frecuencia, tiempo","Debe modularse según disponibilidad horaria y herramientas."
"U05-X2","Espectrograma","5","5.23","out_of_scope","ampliación aplicada","espectro y ventanas","Muy relevante para voz y habla."
"U05-X3","Ponderaciones C y Z; Leq, máximo y pico","5","5.16–5.17","out_of_scope","ampliación metrológica","nivel y ponderación","Útil para evitar interpretar dBA como único descriptor."
"U06-01","Cadena auditiva: oído externo, medio e interno","6","6.1–6.3","covered","anatómico-funcional integrada","U4: presión, impedancia y frecuencia","La organización evita memorizar estructuras sin función."
"U06-02","Pabellón auricular","6","6.2","covered","anatómica y funcional","campo acústico","Incluye filtrado direccional y claves espectrales."
"U06-03","Conducto auditivo externo","6","6.2","covered","anatómica y acústica","resonancia, impedancia","Se vincula con transferencia al tímpano."
"U06-04","Transformación del frente de onda en el conducto auditivo externo","6","6.2","partial","conceptual crítica","propagación esférica/cilíndrica","El libro rechaza una conversión literal universal a onda cilíndrica y la reemplaza por transferencia en un conducto curvo, variable y finito; requiere decisión docente sobre el enunciado."
"U06-05","Membrana timpánica","6","6.3","covered","anatómica y mecánica","presión, vibración","Incluye función de acoplamiento."
"U06-06","Caja timpánica","6","6.3","covered","anatómica y funcional","presión y cavidades","Se integra con ventilación y cadena osicular."
"U06-07","Cadena osicular","6","6.3","covered","anatómica, mecánica y aplicada","palancas, fuerza, presión","Incluye martillo, yunque y estribo."
"U06-08","Trompa de Eustaquio","6","6.3","covered","anatómica y funcional","presión estática","Se relaciona con igualación de presión."
"U06-09","Oído medio como transformador mecánico","6","6.3–6.4","covered","mecánica y cuantitativa básica","impedancia, fuerza, área","Explica adaptación de impedancias sin una única ganancia fija."
"U06-10","Reflejo acústico y latencia","6","6.5","covered","fisiológica con cautelas","cadena osicular, nivel","La latencia se trata como dependiente del estímulo y medición; evitar un valor universal."
"U06-11","Igualación de presiones","6","6.3","covered","funcional y aplicada","presión","Incluye función de la trompa de Eustaquio."
"U06-12","Conducción ósea y transmisión paratimpánica","6","6.6","covered","mecánica y clínica crítica","vibración, impedancia","El libro reemplaza una vía única paratimpánica por múltiples mecanismos de conducción ósea."
"U06-13","Cóclea","6","6.7–6.10","covered","anatómica y fisiológica","onda, frecuencia, energía","Se presenta como sistema mecánico y sensorial."
"U06-14","Rampas cocleares y fluidos","6","6.7","covered","anatómica y terminológica","presión y propagación","Usa scala vestibuli, conducto coclear/scala media y scala tympani; distingue perilinfa y endolinfa."
"U06-15","Membranas cocleares","6","6.7–6.9","covered","anatómica y mecánica","vibración y gradientes","Incluye basilar, vestibular y tectoria."
"U06-16","Potencial de reposo","6","6.8","partial","fisiológica","iones, membrana celular","Se explican potencial endococlear y potencial receptor, pero falta una definición explícita y delimitada de potencial de reposo."
"U06-17","Membrana tectoria y membrana basilar","6","6.8–6.9","covered","mecánica y fisiológica","onda viajera","Se relacionan con cizallamiento y tonotopía."
"U06-18","Ventanas oval y redonda","6","6.7","covered","anatómica y mecánica","presión en fluidos","Se explica su función en la movilidad de los líquidos."
"U06-19","Órgano de Corti","6","6.8","covered","anatómica y fisiológica","membrana basilar, células ciliadas","Integra soporte, células sensoriales y transducción."
"U06-20","Túnel de Corti","6","","missing","anatómica","órgano de Corti","El término y su delimitación no aparecen de forma explícita en los capítulos disponibles."
"U06-21","Células ciliadas internas y externas","6","6.8–6.10","covered","fisiológica y comparativa","transducción, electromotilidad","Diferencia función aferente principal de amplificación/control coclear."
"U06-22","Funcionamiento ante estímulos débiles y fuertes","6","6.9–6.10","covered","fisiológica y no lineal","CCE, CCI, nivel","Incluye compresión coclear y cambio de participación activa."
"U06-23","Tonotopía coclear","6","6.9","covered","mecánica, gráfica y clínica","frecuencia, onda viajera","Relaciona posición, frecuencia y codificación."
"U06-X1","Codificación neural periférica y límites de fase","6","6.10–6.11","out_of_scope","ampliación fisiológica","transducción","Prepara percepción sin convertir U6 en neurociencia central."
"U07-01","Curvas isofónicas normalizadas","7","7.2–7.3","external_expansion","gráfica y cuantitativa","frecuencia, nivel, umbral","El concepto está cubierto; una curva normativa exacta requiere datos vigentes de ISO 226 u otra fuente primaria autorizada."
"U07-02","Umbral de audición y sensibilidad auditiva","7","7.2–7.4","covered","psicofísica y gráfica","nivel, frecuencia","Se distingue umbral individual, referencia y tendencia poblacional."
"U07-03","Resonancia del conducto auditivo externo","7","7.4","covered","acústica y perceptual","U6: CAE; U4: resonancia/nivel","Se vincula con transferencia en campo libre y presión timpánica."
"U07-04","Diferencia entre campo libre y presión en el tímpano","7","7.4","covered","comparativa","campo acústico, CAE","Evita asumir identidad entre nivel incidente y nivel timpánico."
"U07-05","Altura o pitch","7","7.5","covered","psicofísica","frecuencia, espectro","No reducir pitch a frecuencia en señales complejas."
"U07-06","Duración","7","7.6","covered","psicofísica","tiempo, envolvente","Incluye efectos sobre detectabilidad y percepción."
"U07-07","Timbre","7","7.7","covered","multidimensional y aplicada","espectro, envolvente","Se conecta con voz, instrumentos y reconocimiento."
"U07-08","Sonoridad o loudness","7","7.8","covered","psicofísica","nivel, frecuencia, duración","No usar como sinónimo de nivel de presión sonora."
"U07-09","Fon y son","7","7.8","covered","terminológica y cuantitativa básica","curvas isofónicas","El son es unidad de sonoridad; el fon, de nivel de sonoridad."
"U07-10","Enmascaramiento","7","7.9","covered","psicofísica y aplicada","bandas críticas, nivel, frecuencia","Se prepara el uso clínico desarrollado parcialmente en U10."
"U07-11","Ruido y reverberación","7","7.10–7.11","covered","perceptual y aplicada","SNR, campo reverberante","El tiempo de reverberación se formaliza en U9."
"U07-12","Tiempo de reverberación","7","7.11","partial","introductoria y perceptual","energía, decaimiento","La definición y efectos se cubren; el tratamiento físico y de cálculo se traslada a U9."
"U07-13","Voz, inteligibilidad y ALCons","7","7.12","covered","aplicada","SNR, reverberación, espectro del habla","ALCons se presenta con límites de validez y contexto."
"U07-14","Efecto de precedencia o Haas","7","7.13","covered","perceptual y temporal","reflexiones, retardos","Se corrige la grafía 'Hass'; Haas es un caso dentro del efecto de precedencia."
"U07-15","Reflexiones y percepción espacial","7","7.13–7.14","covered","integradora","campo, fase, retardo","Conecta acústica física y localización."
"U07-16","Efecto cóctel","7","7.15","covered","perceptual y aplicada","atención, segregación, claves binaurales","Se evita atribuirlo a un único mecanismo."
"U07-17","Localización y audición binaural","7","7.14–7.16","covered","psicofísica y fisiológica","fase, nivel, anatomía auditiva","Incluye diferencias interaurales de tiempo y nivel y claves espectrales."
"U07-X1","Bandas críticas y ERB","7","7.9","out_of_scope","ampliación psicoacústica","filtros y espectro","Aporta un marco para enmascaramiento sin exigir modelado avanzado."
"U08-01","Curvas de recuperación auditiva después de la exposición","8","8.2–8.3","external_expansion","clínica y temporal","exposición, umbral","Se explica TTS y dependencia temporal, pero no se presentan curvas de recuperación cuantitativas."
"U08-02","Desplazamiento temporal del umbral","8","8.2","covered","clínica y conceptual","umbral, nivel, tiempo","Se distingue de cambios permanentes."
"U08-03","Hipoacusia inducida por ruido","8","8.3","covered","clínica y preventiva","exposición, dosis, audiograma","Incluye mecanismos y patrón audiométrico con cautelas."
"U08-04","Acúfenos","8","8.4","covered","clínica y descriptiva","audición, daño auditivo","Se emplea también el término tinnitus como equivalente."
"U08-05","Presbiacusia","8","8.5","covered","clínica y poblacional","tonotopía, audiograma","Evita asumir un patrón idéntico en todas las personas."
"U08-06","Edad, ruido ocupacional y porcentaje de riesgo","8","8.5–8.6","external_expansion","epidemiológica","estadística básica, exposición","El libro explica factores y rechaza un porcentaje universal; faltan fuente, población, definición de caso y modelo normativo para cuantificar."
"U08-07","Audiometría tonal","8","8.7","covered","procedimental e interpretativa","dB HL, umbral, frecuencia","Incluye vías aérea/ósea e interpretación inicial sin reemplazar protocolo clínico."
"U08-08","Logoaudiometría","8","8.8","covered","procedimental e interpretativa","habla, nivel, inteligibilidad","Conecta reconocimiento verbal con audición funcional."
"U08-09","Timpanometría","8","8.9","covered","procedimental e interpretativa","oído medio, presión, impedancia","Se vincula con función del sistema tímpano-osicular."
"U08-10","Acufenometría","8","8.10","covered","procedimental","tinnitus, frecuencia, nivel","Se presentan objetivos y limitaciones."
"U08-11","Potenciales evocados auditivos de tronco","8","8.11","covered","fisiológica e instrumental","transducción y vía auditiva","Usar PEAT/PEATC con término desarrollado."
"U08-12","Otoemisiones acústicas","8","8.12","covered","fisiológica e instrumental","CCE, cóclea","Se relacionan con función coclear, no con audición completa."
"U08-13","Electrococleografía","8","8.13","covered","fisiológica e instrumental","potenciales cocleares","Se delimita su función diagnóstica."
"U08-14","Audífonos","8","8.14","covered","tecnológica y rehabilitadora","espectro, ganancia, audición","Incluye procesamiento y adaptación general."
"U08-15","Implantes cocleares","8","8.15","covered","tecnológica y rehabilitadora","tonotopía, transducción, señal","Distingue estimulación eléctrica de amplificación."
"U08-X1","Trauma acústico, ototoxicidad, dispositivos osteointegrados y estimulación electroacústica","8","8.3; 8.6; 8.16","out_of_scope","ampliación clínica","fisiología auditiva","Material complementario relevante, sujeto a alcance docente."
"U09-01","Efecto de la distancia","9","9.2","covered","físico y de cálculo","U4: campo libre y niveles","Recupera condiciones y límites de la ley de distancia."
"U09-02","Direccionalidad de la fuente","9","9.3","covered","físico y gráfico","Q, DI, frecuencia","Relaciona patrón polar con longitud de onda y geometría."
"U09-03","Temperatura","9","9.4","covered","físico y aplicado","termodinámica y velocidad","Incluye gradientes y efectos atmosféricos."
"U09-04","Viento","9","9.4","covered","físico y aplicado","velocidad de propagación, gradientes","Se evita interpretarlo como simple arrastre uniforme."
"U09-05","Presión atmosférica","9","9.4","covered","conceptual","termodinámica","Se presenta con alcance acotado frente a temperatura y humedad."
"U09-06","Superficies, reflexión y absorción","9","9.5–9.7","covered","físico y de cálculo básico","energía, impedancia","Distingue coeficientes y condiciones."
"U09-07","Refracción en sólidos y en la atmósfera","9","9.8–9.9","covered","físico y geométrico","velocidad, ángulos, gradientes","Incluye interfaces y medios no uniformes."
"U09-08","Difracción y longitud de onda","9","9.10","covered","conceptual y aplicada","λ=c/f, obstáculos","Conecta escala geométrica con comportamiento."
"U09-09","Aislamiento acústico","9","9.11","covered","constructiva y metrológica","transmisión, nivel","Distinguir aislamiento de absorción."
"U09-10","Acondicionamiento e insonorización de salas","9","9.12–9.14","covered","aplicada e integradora","reflexión, absorción, reverberación","Se recomienda usar 'acondicionamiento' y 'aislamiento'; 'insonorización' puede ser ambiguo."
"U09-11","Cabinas audiométricas","9","9.15","covered","clínica y normativa","aislamiento, ruido de fondo","Incluye función y criterios generales."
"U09-12","Niveles máximos permisibles de ruido para audiometría","9","9.15","external_expansion","normativa","bandas de frecuencia, dB HL/SPL, transductor","El concepto está cubierto, pero una tabla numérica exige norma vigente, configuración de transductor, vía y jurisdicción."
"U09-X1","Tiempo de reverberación y fórmula de Sabine","9","9.12–9.13","out_of_scope","ampliación física y de cálculo","energía, logaritmos, absorción","Formaliza el concepto introducido en U7."
"U10-01","Tipos de ruido y clasificación","10","10.1–10.4","covered","clasificatoria, física y aplicada","señales, espectro, estadística básica","Incluye clasificación temporal y espectral."
"U10-02","Diferencia entre sonido y ruido","10","10.1","covered","conceptual y contextual","U4 y U7","Evita una separación puramente física: ruido también depende de tarea, contexto y efecto."
"U10-03","Ruido aleatorio","10","10.2–10.3","covered","estadística y espectral","promedio, varianza, espectro","Se explicita que aleatorio no significa sin estructura."
"U10-04","Ruido blanco","10","10.4","covered","espectral y aplicada","densidad espectral, bandas","Distinguir densidad por Hz de energía por banda."
"U10-05","Ruido rosa","10","10.4","covered","espectral y aplicada","octavas, densidad espectral","Se relaciona con energía aproximadamente constante por octava."
"U10-06","Ruido vocal","10","10.4","covered","terminológica y aplicada","espectro del habla","El libro adopta 'ruido con espectro de habla' o speech-shaped noise como término más preciso."
"U10-07","Ruido de banda estrecha","10","10.4","covered","espectral y aplicada","filtros, frecuencia central, ancho de banda","Usar NBN solo después de desarrollar el término."
"U10-08","Revisión de técnica de enmascaramiento","10","10.8","external_expansion","clínica introductoria","U7: enmascaramiento; U8: audiometría","Se cubren función, selección general y necesidad clínica; faltan protocolo completo, nivel inicial, efecto de oclusión, sobreenmascaramiento y método de meseta."
"U10-X1","Métricas estadísticas, densidad espectral de potencia, exposición y jerarquía de controles","10","10.2–10.7","out_of_scope","ampliación técnica y preventiva","estadística, Fourier, niveles","Amplía significativamente el programa y es útil para interpretar mediciones y prevención."
